Symbol,Date,Datetime,Open,Close,High,Low,Volume
3MINDIA,2026-06-18,2026-06-18 03:45:00,33055.0,33345.0,33375.0,32815.0,1185
3MINDIA,2026-06-18,2026-06-18 07:45:00,33350.0,33250.0,33405.0,33110.0,1322
3MINDIA,2026-06-19,2026-06-19 03:45:00,33250.0,32865.0,33250.0,32855.0,705
3MINDIA,2026-06-19,2026-06-19 07:45:00,32900.0,33125.0,33330.0,32805.0,1716
3MINDIA,2026-06-22,2026-06-22 03:45:00,33350.0,33285.0,33455.0,33160.0,428
3MINDIA,2026-06-22,2026-06-22 07:45:00,33290.0,33325.0,33400.0,33230.0,857
3MINDIA,2026-06-23,2026-06-23 03:45:00,33300.0,33525.0,34295.0,33205.0,2268
3MINDIA,2026-06-23,2026-06-23 07:45:00,33525.0,33365.0,33905.0,33355.0,2603
3MINDIA,2026-06-24,2026-06-24 03:45:00,33555.0,33440.0,33670.0,33310.0,388
3MINDIA,2026-06-24,2026-06-24 07:45:00,33475.0,33535.0,33680.0,33345.0,626
3MINDIA,2026-06-25,2026-06-25 03:45:00,33540.0,33520.0,33780.0,33330.0,318
3MINDIA,2026-06-25,2026-06-25 07:45:00,33485.0,33380.0,33595.0,33315.0,728
3MINDIA,2026-06-29,2026-06-29 03:45:00,33155.0,32900.0,34170.0,32900.0,2854
3MINDIA,2026-06-29,2026-06-29 07:45:00,32960.0,33500.0,33545.0,32335.0,6063
3MINDIA,2026-06-30,2026-06-30 03:45:00,33100.0,33165.0,34130.0,33100.0,983
3MINDIA,2026-06-30,2026-06-30 07:45:00,33160.0,32900.0,33225.0,32825.0,2660
3MINDIA,2026-07-01,2026-07-01 03:45:00,33100.0,33325.0,33695.0,33040.0,1686
3MINDIA,2026-07-01,2026-07-01 07:45:00,33335.0,33500.0,33500.0,33270.0,1114
3MINDIA,2026-07-02,2026-07-02 03:45:00,33500.0,33740.0,33915.0,33370.0,1166
3MINDIA,2026-07-02,2026-07-02 07:45:00,33745.0,33960.0,34150.0,33710.0,1198
3MINDIA,2026-07-03,2026-07-03 03:45:00,34100.0,34915.0,35000.0,33800.0,6842
3MINDIA,2026-07-03,2026-07-03 07:45:00,34910.0,35160.0,35340.0,34485.0,5698
3MINDIA,2026-07-06,2026-07-06 03:45:00,35240.0,35160.0,35325.0,34880.0,781
3MINDIA,2026-07-06,2026-07-06 07:45:00,35160.0,35210.0,35295.0,35105.0,1089
3MINDIA,2026-07-07,2026-07-07 03:45:00,35200.0,35055.0,35500.0,34980.0,1252
3MINDIA,2026-07-07,2026-07-07 07:45:00,35055.0,35355.0,35355.0,35055.0,1066
3MINDIA,2026-07-08,2026-07-08 03:45:00,35205.0,34835.0,35420.0,34750.0,658
3MINDIA,2026-07-08,2026-07-08 07:45:00,34825.0,34255.0,35000.0,33990.0,2488
3MINDIA,2026-07-09,2026-07-09 03:45:00,34300.0,35230.0,35270.0,34300.0,1655
3MINDIA,2026-07-09,2026-07-09 07:45:00,35170.0,34745.0,35250.0,34580.0,1812
3MINDIA,2026-07-10,2026-07-10 03:45:00,35200.0,35275.0,35390.0,34850.0,746
3MINDIA,2026-07-10,2026-07-10 07:45:00,35260.0,35370.0,35445.0,35230.0,1351
3MINDIA,2026-07-13,2026-07-13 03:45:00,35300.0,35860.0,35865.0,35140.0,1581
3MINDIA,2026-07-13,2026-07-13 07:45:00,35850.0,36430.0,36585.0,35830.0,3591
3MINDIA,2026-07-14,2026-07-14 03:45:00,36400.0,36135.0,36400.0,36010.0,1427
3MINDIA,2026-07-14,2026-07-14 07:45:00,36090.0,36610.0,36675.0,36065.0,3778
3MINDIA,2026-07-15,2026-07-15 03:45:00,36700.0,35945.0,36870.0,35800.0,7470
3MINDIA,2026-07-15,2026-07-15 07:45:00,35945.0,35930.0,36000.0,35845.0,1679
3MINDIA,2026-07-16,2026-07-16 03:45:00,35940.0,36000.0,36395.0,35900.0,689
3MINDIA,2026-07-16,2026-07-16 07:45:00,36085.0,35445.0,36085.0,35335.0,2842
3MINDIA,2026-07-17,2026-07-17 03:45:00,34900.0,35000.0,35205.0,34775.0,745
3MINDIA,2026-07-17,2026-07-17 07:45:00,34980.0,34870.0,35020.0,34710.0,1235
AARTIIND,2026-06-18,2026-06-18 03:45:00,481.95,483.8,494.0,479.5,219750
AARTIIND,2026-06-18,2026-06-18 07:45:00,483.8,484.5,491.3,483.8,329898
AARTIIND,2026-06-19,2026-06-19 03:45:00,482.7,479.4,488.8,478.8,171939
AARTIIND,2026-06-19,2026-06-19 07:45:00,479.4,485.9,486.35,478.2,292060
AARTIIND,2026-06-22,2026-06-22 03:45:00,486.4,489.95,493.6,485.8,275558
AARTIIND,2026-06-22,2026-06-22 07:45:00,490.0,485.95,494.05,485.05,282288
AARTIIND,2026-06-23,2026-06-23 03:45:00,487.75,474.45,491.75,473.8,367442
AARTIIND,2026-06-23,2026-06-23 07:45:00,474.8,473.6,475.85,472.8,221776
AARTIIND,2026-06-24,2026-06-24 03:45:00,475.65,466.7,477.0,464.65,271391
AARTIIND,2026-06-24,2026-06-24 07:45:00,466.7,466.05,468.6,463.95,491603
AARTIIND,2026-06-25,2026-06-25 03:45:00,467.2,466.0,471.0,461.6,385834
AARTIIND,2026-06-25,2026-06-25 07:45:00,466.0,466.2,467.7,465.7,268379
AARTIIND,2026-06-29,2026-06-29 03:45:00,467.7,459.2,467.7,458.2,355841
AARTIIND,2026-06-29,2026-06-29 07:45:00,459.25,457.2,460.25,456.4,433605
AARTIIND,2026-06-30,2026-06-30 03:45:00,457.5,461.0,462.15,454.5,183817
AARTIIND,2026-06-30,2026-06-30 07:45:00,461.0,458.3,462.0,456.05,185225
AARTIIND,2026-07-01,2026-07-01 03:45:00,462.5,471.1,473.3,458.3,293692
AARTIIND,2026-07-01,2026-07-01 07:45:00,471.1,467.6,472.15,466.0,172691
AARTIIND,2026-07-02,2026-07-02 03:45:00,469.0,481.1,487.8,468.25,462492
AARTIIND,2026-07-02,2026-07-02 07:45:00,480.85,482.0,484.0,479.85,168946
AARTIIND,2026-07-03,2026-07-03 03:45:00,484.45,481.65,487.3,480.1,119579
AARTIIND,2026-07-03,2026-07-03 07:45:00,481.8,488.0,489.7,480.15,338731
AARTIIND,2026-07-06,2026-07-06 03:45:00,487.0,489.9,500.55,484.0,578491
AARTIIND,2026-07-06,2026-07-06 07:45:00,489.85,488.5,490.6,487.1,183614
AARTIIND,2026-07-07,2026-07-07 03:45:00,490.0,479.55,490.0,477.75,138414
AARTIIND,2026-07-07,2026-07-07 07:45:00,479.5,478.55,481.9,477.0,93676
AARTIIND,2026-07-08,2026-07-08 03:45:00,477.0,477.55,480.75,472.45,74655
AARTIIND,2026-07-08,2026-07-08 07:45:00,477.55,467.0,478.7,462.25,215925
AARTIIND,2026-07-09,2026-07-09 03:45:00,466.85,471.15,475.9,466.85,65886
AARTIIND,2026-07-09,2026-07-09 07:45:00,471.1,467.95,471.9,467.0,164190
