Symbol,Date,Open,Close,High,Low,Volume
360ONE,2026-04-20,1107.7,1109.25,1127.65,1096.75,671866
360ONE,2026-04-21,1116.0,1108.35,1132.0,1096.5,1199787
360ONE,2026-04-22,1114.0,1054.9,1123.8,1042.0,5903548
360ONE,2026-04-23,1049.0,1052.25,1057.0,1033.8,1335631
360ONE,2026-04-24,1056.9,1039.6,1062.45,1030.2,896365
360ONE,2026-04-27,1034.9,1042.05,1046.45,1025.0,592351
360ONE,2026-04-28,1041.0,1038.95,1049.5,1030.05,645825
360ONE,2026-04-29,1045.0,1046.8,1055.5,1034.15,687054
360ONE,2026-04-30,1038.2,1034.65,1041.35,1009.0,1026753
360ONE,2026-05-01,1034.65,1034.65,1034.65,1034.65,0
360ONE,2026-05-04,1041.0,1066.5,1072.4,1033.4,2455293
360ONE,2026-05-05,1065.6,1070.7,1085.6,1050.5,1750453
360ONE,2026-05-06,1079.8,1084.1,1097.6,1075.0,2173450
360ONE,2026-05-07,1084.1,1111.7,1118.0,1083.0,809803
360ONE,2026-05-08,1112.9,1118.5,1134.9,1105.7,732727
360ONE,2026-05-11,1115.0,1115.3,1134.4,1111.0,935561
360ONE,2026-05-12,1105.1,1078.1,1115.3,1075.0,925297
360ONE,2026-05-13,1070.0,1077.5,1100.0,1070.0,568085
360ONE,2026-05-14,1080.1,1102.1,1106.7,1062.0,403296
360ONE,2026-05-15,1116.1,1093.8,1123.5,1090.0,684883
360ONE,2026-05-18,1085.0,1104.9,1111.8,1066.8,661233
360ONE,2026-05-19,1104.0,1098.4,1121.5,1092.0,442746
360ONE,2026-05-20,1090.1,1107.4,1111.0,1076.0,310456
360ONE,2026-05-21,1118.8,1111.8,1131.0,1105.2,833753
360ONE,2026-05-22,1110.6,1112.4,1121.8,1103.0,482891
360ONE,2026-05-25,1125.4,1142.4,1144.4,1119.1,725309
360ONE,2026-05-26,1152.0,1125.3,1152.0,1121.7,762091
360ONE,2026-05-27,1125.9,1112.1,1129.5,1109.2,274760
360ONE,2026-05-28,1112.1,1112.1,1112.1,1112.1,0
360ONE,2026-05-29,1118.0,1104.5,1127.8,1095.0,1006275
360ONE,2026-06-01,1108.0,1078.8,1114.9,1069.8,1197416
360ONE,2026-06-02,1070.0,1089.2,1093.0,1051.8,1196484
360ONE,2026-06-03,1082.5,1072.5,1085.6,1049.2,765530
360ONE,2026-06-04,1064.3,1071.8,1081.5,1062.1,2527568
360ONE,2026-06-05,1068.0,1073.9,1093.3,1050.7,2432019
360ONE,2026-06-08,1068.0,1054.9,1068.9,1047.7,344987
360ONE,2026-06-09,1056.4,1075.0,1083.0,1056.4,384782
360ONE,2026-06-10,1080.0,1052.0,1080.0,1048.0,947964
360ONE,2026-06-11,1041.7,1064.1,1071.7,1031.3,690962
360ONE,2026-06-12,1079.7,1096.8,1099.0,1058.0,696601
360ONE,2026-06-15,1109.8,1130.8,1134.7,1106.0,2132710
360ONE,2026-06-16,1143.2,1133.6,1165.1,1130.3,1168609
360ONE,2026-06-17,1160.0,1136.9,1160.0,1127.0,382759
360ONE,2026-06-18,1144.0,1141.3,1162.2,1136.0,1011855
360ONE,2026-06-19,1141.8,1145.1,1150.0,1130.5,1587197
360ONE,2026-06-22,1148.9,1139.2,1155.5,1134.4,496298
360ONE,2026-06-23,1139.2,1116.9,1141.0,1111.3,385961
360ONE,2026-06-24,1109.7,1099.9,1115.3,1090.6,561423
360ONE,2026-06-25,1109.9,1085.4,1110.0,1079.1,708654
360ONE,2026-06-26,1085.4,1085.4,1085.4,1085.4,0
360ONE,2026-06-29,1079.8,1089.8,1097.0,1069.0,701139
360ONE,2026-06-30,1083.1,1074.6,1107.0,1066.1,1408657
360ONE,2026-07-01,1074.5,1065.9,1084.9,1061.7,1496165
360ONE,2026-07-02,1075.0,1070.0,1081.6,1060.6,905046
360ONE,2026-07-03,1084.0,1109.5,1120.9,1077.5,1319185
360ONE,2026-07-06,1110.2,1133.3,1138.9,1109.4,1252279
360ONE,2026-07-07,1140.0,1150.1,1154.0,1126.4,1855535
360ONE,2026-07-08,1142.8,1091.7,1149.9,1081.2,2679587
360ONE,2026-07-09,1090.8,1100.2,1106.8,1086.6,1022506
360ONE,2026-07-10,1106.8,1129.0,1133.6,1104.0,2189046
360ONE,2026-07-13,1127.0,1118.0,1127.0,1094.8,2239860
360ONE,2026-07-14,1107.0,1098.8,1112.6,1086.2,1524014
360ONE,2026-07-15,1104.2,1098.6,1119.8,1092.5,649100
360ONE,2026-07-16,1106.1,1081.3,1107.5,1065.6,1542092
360ONE,2026-07-17,1108.3,1113.7,1127.8,1085.7,5362295
360ONE,2026-07-20,1105.0,1126.5,1128.9,1102.2,881095
360ONE,2026-07-21,1126.0,1119.7,1134.6,1112.7,711600
3MINDIA,2026-04-20,31320.0,31480.0,31750.0,30910.0,2882
3MINDIA,2026-04-21,31480.0,31585.0,31730.0,31395.0,4818
3MINDIA,2026-04-22,31700.0,32550.0,33055.0,31680.0,22561
3MINDIA,2026-04-23,32800.0,33135.0,33260.0,32485.0,4350
3MINDIA,2026-04-24,33135.0,32635.0,33235.0,32230.0,3764
3MINDIA,2026-04-27,32660.0,33630.0,33895.0,32660.0,4834
3MINDIA,2026-04-28,33600.0,33260.0,33880.0,33000.0,4763
3MINDIA,2026-04-29,33585.0,33175.0,33800.0,32720.0,6423
3MINDIA,2026-04-30,33125.0,33300.0,33490.0,32770.0,1816
3MINDIA,2026-05-04,33300.0,33080.0,33640.0,32845.0,2157
3MINDIA,2026-05-05,32890.0,32425.0,33115.0,32370.0,2636
3MINDIA,2026-05-06,32505.0,32525.0,32795.0,31995.0,2929
3MINDIA,2026-05-07,32500.0,32650.0,32960.0,32445.0,1677
3MINDIA,2026-05-08,32700.0,32045.0,32700.0,32000.0,2139
3MINDIA,2026-05-11,32040.0,31680.0,32200.0,31340.0,2752
3MINDIA,2026-05-12,31675.0,31000.0,31700.0,30930.0,2770
3MINDIA,2026-05-13,30790.0,31070.0,31930.0,30790.0,1265
3MINDIA,2026-05-14,31225.0,31195.0,31360.0,30850.0,1100
3MINDIA,2026-05-15,31350.0,31245.0,31595.0,31120.0,953
3MINDIA,2026-05-18,31000.0,31705.0,31795.0,30280.0,3861
3MINDIA,2026-05-19,31700.0,31810.0,32275.0,31600.0,3651
3MINDIA,2026-05-20,31700.0,31140.0,31700.0,31000.0,2801
3MINDIA,2026-05-21,31425.0,32200.0,32650.0,30800.0,9817
3MINDIA,2026-05-22,32500.0,33315.0,34545.0,32350.0,49022
3MINDIA,2026-05-25,33950.0,33615.0,34300.0,33185.0,13508
3MINDIA,2026-05-26,34180.0,33100.0,34180.0,33000.0,5962
3MINDIA,2026-05-27,33250.0,33225.0,33610.0,33110.0,2695
3MINDIA,2026-05-28,33225.0,33225.0,33225.0,33225.0,0
3MINDIA,2026-05-29,33245.0,32810.0,33475.0,32510.0,4786
3MINDIA,2026-06-01,33090.0,32560.0,33200.0,32350.0,3108
3MINDIA,2026-06-02,32400.0,32610.0,32850.0,32390.0,1573
3MINDIA,2026-06-03,32520.0,32445.0,32700.0,32210.0,1512
3MINDIA,2026-06-04,32445.0,32290.0,32810.0,32060.0,2629
3MINDIA,2026-06-05,32580.0,31995.0,32580.0,31800.0,2208
3MINDIA,2026-06-08,31800.0,31540.0,31970.0,31500.0,2108
3MINDIA,2026-06-09,31925.0,31785.0,32095.0,31620.0,1671
3MINDIA,2026-06-10,31850.0,31580.0,31990.0,31530.0,1234
3MINDIA,2026-06-11,31600.0,31165.0,31985.0,31010.0,1740
3MINDIA,2026-06-12,31550.0,31550.0,31695.0,31255.0,1149
3MINDIA,2026-06-15,31750.0,31665.0,32195.0,31575.0,2529
3MINDIA,2026-06-16,31690.0,32300.0,32615.0,31435.0,4732
3MINDIA,2026-06-17,32300.0,33060.0,33200.0,32175.0,3525
3MINDIA,2026-06-18,33000.0,33250.0,33405.0,32750.0,3182
3MINDIA,2026-06-19,33250.0,33125.0,33400.0,32805.0,2784
3MINDIA,2026-06-22,33350.0,33325.0,33455.0,33160.0,1870
3MINDIA,2026-06-23,33320.0,33615.0,34295.0,33110.0,6739
3MINDIA,2026-06-24,33600.0,33535.0,33690.0,33310.0,1711
3MINDIA,2026-06-25,33540.0,33380.0,33780.0,33315.0,1511
3MINDIA,2026-06-26,33380.0,33380.0,33380.0,33380.0,0
3MINDIA,2026-06-29,33380.0,32710.0,34275.0,32330.0,10449
3MINDIA,2026-06-30,33050.0,32900.0,34250.0,32605.0,7444
3MINDIA,2026-07-01,33100.0,33435.0,33710.0,33040.0,4012
