Symbol,Date,Open,High,Low,Close,Volume
Agri - Edible Oil,2023-08-31,102.87,105.57,96.73,100.0,16947919.0
Agri - Edible Oil,2023-09-29,100.34,112.52,97.77,99.38,20877028.0
Agri - Edible Oil,2023-10-31,100.66,104.95,92.69,94.75,16176732.0
Agri - Edible Oil,2023-11-30,94.54,101.92,92.95,98.46,16928598.0
Agri - Edible Oil,2023-12-29,98.85,110.5,96.93,103.93,30040066.0
Agri - Edible Oil,2024-01-31,104.3,105.95,93.97,101.13,21071354.0
Agri - Edible Oil,2024-02-29,101.46,120.53,98.89,111.65,29602646.0
Agri - Edible Oil,2024-03-29,107.78,108.79,82.93,86.63,19603800.0
Agri - Edible Oil,2024-04-30,87.34,95.66,86.37,93.8,15454322.0
Agri - Edible Oil,2024-05-31,93.96,102.39,86.91,93.76,45877160.0
Agri - Edible Oil,2024-06-28,95.56,107.04,90.23,98.55,33232532.0
Agri - Edible Oil,2024-07-31,98.66,124.47,96.99,117.08,39619135.0
Agri - Edible Oil,2024-08-30,117.89,122.68,107.12,112.26,49794470.0
Agri - Edible Oil,2024-09-30,112.61,121.97,106.07,117.34,56826534.0
Agri - Edible Oil,2024-10-31,117.85,129.02,109.13,119.25,27516782.0
Agri - Edible Oil,2024-11-29,120.37,137.5,108.43,121.48,21938454.0
Agri - Edible Oil,2024-12-31,120.45,128.58,112.35,119.9,17337828.0
Agri - Edible Oil,2025-01-31,120.49,127.9,106.44,112.09,17383578.0
Agri - Edible Oil,2025-02-28,112.53,121.04,100.52,105.59,15731521.0
Agri - Edible Oil,2025-03-31,105.95,114.21,97.94,104.93,16568734.0
Agri - Edible Oil,2025-04-30,103.55,118.52,97.87,110.0,17423330.0
Agri - Edible Oil,2025-05-30,109.99,123.76,106.63,120.32,20605334.0
Agri - Edible Oil,2025-06-30,119.94,127.87,112.04,119.98,22571389.0
Agri - Edible Oil,2025-07-31,121.42,127.72,112.42,115.28,20567908.0
Agri - Edible Oil,2025-08-29,114.9,127.97,111.15,116.24,15437094.0
Agri - Edible Oil,2025-09-30,116.94,128.25,112.12,115.32,21046774.0
Agri - Edible Oil,2025-10-31,115.84,121.96,109.25,115.06,14636823.0
Agri - Edible Oil,2025-11-28,115.43,122.33,110.28,114.82,17195765.0
Agri - Edible Oil,2025-12-31,115.47,118.84,107.03,110.82,14494766.0
Agri - Edible Oil,2026-01-30,111.36,117.21,100.62,103.67,14033062.0
Agri - Edible Oil,2026-02-27,102.81,118.7,100.26,109.69,13513586.0
Agri - Edible Oil,2026-03-31,107.4,112.93,98.0,100.95,36466878.0
Agri - Edible Oil,2026-04-30,105.38,117.31,101.71,114.57,25126944.0
Agri - Edible Oil,2026-05-29,114.7,124.88,110.92,117.97,18547376.0
Agri - Edible Oil,2026-06-30,117.75,123.01,111.83,115.21,25095983.0
Agri - Edible Oil,2026-07-31,116.25,125.86,113.25,120.74,37489333.0
Agri - Edible Oil,2026-08-31,120.48,127.53,115.8,118.9,15990228.0
Agri - Misc,2023-08-31,89.04,102.19,86.87,100.0,10166494.0
Agri - Misc,2023-09-29,100.09,120.52,93.05,115.45,41299344.0
Agri - Misc,2023-10-31,113.59,131.13,106.79,115.92,13097966.0
Agri - Misc,2023-11-30,116.28,125.37,107.2,116.67,11855151.0
Agri - Misc,2023-12-29,117.53,122.17,104.88,110.03,16645838.0
