Symbol,Datetime,Open,Close,High,Low,Volume,Date
3MINDIA,,26660.3,27012.7,28500.0,26329.45,40463,2023-06-30
3MINDIA,,27298.95,28922.55,29190.0,26754.1,73743,2023-07-31
3MINDIA,,28987.0,31153.55,31989.0,26628.0,101487,2023-08-31
3MINDIA,,31400.0,31805.85,33250.0,29610.0,85410,2023-09-29
3MINDIA,,31900.0,29762.7,32064.75,28870.0,40590,2023-10-31
3MINDIA,,29829.1,31037.8,32409.35,29590.5,56374,2023-11-30
3MINDIA,,31101.0,37309.15,39876.1,30469.55,212694,2023-12-29
3MINDIA,,37000.0,34408.35,37500.0,33305.0,103730,2024-01-31
3MINDIA,,34450.85,31977.65,34587.15,30250.1,105187,2024-02-29
3MINDIA,,32275.0,31193.35,32275.0,29203.4,114709,2024-03-29
3MINDIA,,30800.0,30468.1,31449.95,28907.05,91758,2024-04-30
3MINDIA,,30600.0,33385.0,35545.25,28498.95,346313,2024-05-31
3MINDIA,,34100.0,36804.3,38501.0,30453.8,180739,2024-06-28
3MINDIA,,37350.6,39285.8,40856.5,37018.9,174216,2024-07-31
3MINDIA,,39415.45,35663.65,39949.0,34778.0,114876,2024-08-30
3MINDIA,,35750.0,33834.0,36244.0,33444.05,128187,2024-09-30
3MINDIA,,34306.9,36047.6,36147.7,33131.6,100139,2024-10-31
3MINDIA,,36130.15,32245.3,37133.75,30629.0,101574,2024-11-29
3MINDIA,,32245.3,30393.15,32301.55,30079.05,102989,2024-12-31
3MINDIA,,30400.0,29892.25,31685.85,28412.0,164959,2025-01-31
3MINDIA,,29665.0,26297.3,30225.0,26010.0,174464,2025-02-28
3MINDIA,,26297.3,28889.15,29416.3,25718.15,97489,2025-03-31
3MINDIA,,28701.0,30110.0,31160.0,26820.1,83044,2025-04-30
3MINDIA,,30400.0,29275.0,30580.0,27830.0,91699,2025-05-30
3MINDIA,,29290.0,28500.0,30300.0,28275.0,60341,2025-06-30
3MINDIA,,28605.0,30755.0,32090.0,28380.0,158346,2025-07-31
3MINDIA,,30985.0,30760.0,32195.0,30015.0,146460,2025-08-29
3MINDIA,,30510.0,29445.0,31590.0,28765.0,104185,2025-09-30
3MINDIA,,29255.0,29560.0,30250.0,28845.0,53747,2025-10-31
