Symbol,Datetime,Open,Close,High,Low,Volume,Date
20MICRONS,,188.76,190.5,191.5,188.76,35816,2025-12-12
20MICRONS,,190.02,192.33,197.9,188.2,238190,2025-12-19
20MICRONS,,194.24,217.71,237.4,193.58,10961327,2025-12-26
20MICRONS,,218.36,214.3,228.7,208.41,2880933,2026-01-02
20MICRONS,,214.85,195.72,217.15,194.3,606735,2026-01-09
20MICRONS,,194.94,186.11,197.0,184.1,413887,2026-01-16
20MICRONS,,186.0,179.01,186.0,172.11,553894,2026-01-23
20MICRONS,,177.81,175.28,181.78,167.05,500281,2026-01-30
20MICRONS,,175.0,171.02,178.8,162.52,677990,2026-02-06
20MICRONS,,172.6,181.07,201.5,172.6,1194267,2026-02-13
20MICRONS,,181.07,178.76,186.8,177.63,310309,2026-02-20
20MICRONS,,180.28,174.69,181.38,172.75,319300,2026-02-27
20MICRONS,,171.38,166.87,171.69,163.81,270247,2026-03-06
20MICRONS,,161.3,157.25,170.17,156.35,397841,2026-03-13
20MICRONS,,156.1,151.02,159.74,146.35,751220,2026-03-20
20MICRONS,,148.9,140.72,154.59,137.61,659411,2026-03-27
20MICRONS,,139.81,149.9,151.59,129.61,478131,2026-04-03
20MICRONS,,152.15,162.37,165.0,146.35,468078,2026-04-10
20MICRONS,,162.15,184.09,186.8,156.1,1327360,2026-04-17
20MICRONS,,184.43,175.6,187.0,174.3,529487,2026-04-24
20MICRONS,,180.0,176.89,184.4,175.41,230415,2026-05-01
20MICRONS,,177.11,181.81,187.04,176.63,382872,2026-05-08
20MICRONS,,182.0,174.0,184.68,172.25,439509,2026-05-15
20MICRONS,,174.5,177.0,188.0,162.05,1563534,2026-05-22
20MICRONS,,180.0,182.76,207.95,180.0,4326926,2026-05-29
20MICRONS,,186.72,195.77,206.0,180.13,1342523,2026-06-05
20MICRONS,,195.9,182.37,195.9,178.0,793059,2026-06-12
21STCENMGM,,43.25,44.88,44.96,43.25,3618,2025-12-12
21STCENMGM,,45.0,48.74,49.52,44.37,67393,2025-12-19
21STCENMGM,,49.71,52.74,52.74,49.7,20921,2025-12-26
21STCENMGM,,53.79,49.39,53.79,48.05,43991,2026-01-02
21STCENMGM,,48.41,46.43,50.37,46.43,29124,2026-01-09
21STCENMGM,,46.0,43.76,46.61,43.76,16226,2026-01-16
21STCENMGM,,44.5,39.58,44.5,39.58,5511,2026-01-23
21STCENMGM,,38.79,38.0,39.0,36.52,12449,2026-01-30
21STCENMGM,,36.5,40.31,41.0,36.5,28715,2026-02-06
21STCENMGM,,41.11,38.28,41.11,38.01,18744,2026-02-13
21STCENMGM,,39.04,36.44,39.04,36.08,16945,2026-02-20
21STCENMGM,,36.44,36.34,37.39,35.4,16076,2026-02-27
21STCENMGM,,35.77,33.79,35.77,33.61,17173,2026-03-06
21STCENMGM,,33.12,32.97,35.2,32.97,17553,2026-03-13
21STCENMGM,,32.97,31.9,33.59,31.9,19054,2026-03-20
21STCENMGM,,32.39,29.49,32.39,29.49,37995,2026-03-27
21STCENMGM,,29.47,28.82,29.47,28.5,4829,2026-04-03
21STCENMGM,,28.82,30.34,30.34,28.25,10217,2026-04-10
21STCENMGM,,30.84,32.41,32.41,29.75,35780,2026-04-17
21STCENMGM,,33.05,35.76,35.76,33.05,22698,2026-04-24
21STCENMGM,,36.47,36.58,37.14,35.05,22583,2026-05-01
21STCENMGM,,37.25,34.65,37.25,34.25,14973,2026-05-08
21STCENMGM,,35.29,32.11,35.29,31.87,18980,2026-05-15
21STCENMGM,,32.11,32.24,32.24,30.5,12116,2026-05-22
21STCENMGM,,32.88,34.88,34.88,32.88,14142,2026-05-29
21STCENMGM,,35.5,33.01,35.5,32.4,17200,2026-06-05
21STCENMGM,,33.35,31.36,33.95,31.26,19971,2026-06-12
360ONE,,1135.2,1142.2,1147.0,1127.7,258119,2025-12-12
360ONE,,1142.2,1138.9,1158.0,1120.1,4763310,2025-12-19
360ONE,,1134.4,1179.4,1217.0,1120.0,2320866,2025-12-26
360ONE,,1179.8,1200.1,1217.9,1164.3,1995251,2026-01-02
360ONE,,1208.0,1140.9,1221.0,1130.0,4209841,2026-01-09
360ONE,,1140.9,1197.7,1236.2,1117.5,7950768,2026-01-16
360ONE,,1193.9,1112.3,1228.0,1088.1,10612304,2026-01-23
360ONE,,1108.0,1134.3,1157.9,1100.3,6068414,2026-01-30
360ONE,,1092.0,1113.9,1188.5,1067.4,4936248,2026-02-06
360ONE,,1114.9,1126.8,1170.3,1110.6,3222496,2026-02-13
360ONE,,1109.0,1100.6,1142.0,1083.8,3011411,2026-02-20
360ONE,,1110.0,1103.6,1142.9,1093.0,3789937,2026-02-27
360ONE,,1055.0,1064.2,1094.8,1039.3,3627026,2026-03-06
360ONE,,1049.1,1027.4,1065.0,1017.3,4027868,2026-03-13
360ONE,,1025.0,1040.6,1088.5,1010.3,2308079,2026-03-20
360ONE,,1040.6,977.4,1040.6,969.8,4047385,2026-03-27
360ONE,,969.1,933.85,982.7,915.0,2594051,2026-04-03
360ONE,,931.0,1012.65,1022.0,906.05,10644443,2026-04-10
360ONE,,991.0,1113.3,1124.0,976.4,5837899,2026-04-17
