Symbol,DD_52W,DD_ATH,W_BO,D_BO,M_BO,W_SL,M_SL,W_PSL,M_PSL,D_CHG,W_CHG,M_CHG,Trend,CurPrice,Sector,MarketCap
20MICRONS,18.0,44.0,-1,-5,-1,-5.3,0.3,-5.3,0.3,-13.7,-13.4,-10.7,5,194.72,Metals - Misc,Small Cap
21STCENMGM,27.5,72.4,-5,-13,-1,-5.5,12.6,-5.5,12.6,-10.8,-11.5,-3.3,2,39.0,Financials - Misc,Small Cap
360ONE,15.4,20.6,-3,-13,-1,-10.7,-4.6,-10.7,-4.6,-12.9,-13.0,-11.0,5,1045.9,Financials - Misc,Mid Cap
3BBLACKBIO,,18.2,-1,-6,-1,4.0,0.0,4.0,0.0,-14.3,-12.6,-10.2,0,1299.5,,
3MINDIA,14.7,20.6,-5,-11,-1,-7.3,-2.1,-7.3,-2.1,-5.7,-10.6,-9.3,5,32430.0,Others,Mid Cap
3PLAND,31.7,62.5,-7,-7,-4,-1.7,4.4,-1.7,4.4,-5.6,-10.7,-12.1,5,30.8,Financials - Misc,Small Cap
5PAISA,26.1,59.4,-4,-13,-1,-17.1,-10.4,-17.1,-10.4,-17.5,-20.1,-13.6,3,308.25,Financials - Broking,Small Cap
63MOONS,12.7,26.0,-6,-1,-1,9.4,15.0,9.4,3.1,-8.0,-11.1,-11.1,4,836.55,IT - Software/Consulting,Small Cap
AAATECH,33.1,43.4,-4,-10,-4,0.0,-3.1,0.0,-3.1,-4.0,-6.2,-9.7,7,91.03,Others,Small Cap
AADHARHFC,21.7,21.7,-9,-7,-3,-13.3,-9.5,-13.3,-9.5,-8.5,-21.2,-14.5,3,441.0,,
AAREYDRUGS,6.6,6.6,-1,-3,4,2.5,14.7,0.5,7.8,-5.0,-4.4,3.8,7,94.58,Healthcare - Pharma,Small Cap
AARON,46.1,52.3,-7,-13,-5,1.5,-3.9,1.5,-3.9,-10.1,-19.1,-16.3,7,123.0,Engineering,Small Cap
AARTECH,22.5,52.4,-1,-4,3,0.9,12.1,0.9,2.8,-3.4,-3.4,3.2,2,50.2,Power - Equipment,Small Cap
