Symbol,DD_52W,DD_ATH,W_BO,D_BO,M_BO,W_SL,M_SL,W_PSL,M_PSL,D_CHG,W_CHG,M_CHG,Trend,CurPrice,Sector,MarketCap
20MICRONS,8.8,37.8,-2,-1,-1,5.3,11.5,5.3,4.4,-2.9,-3.8,-0.7,5,216.45,Metals - Misc,Small Cap
21STCENMGM,26.3,72.0,-6,0,-1,-4.0,13.6,-4.0,13.6,1.4,-10.1,-1.8,2,39.62,Financials - Misc,Small Cap
360ONE,10.4,15.9,-4,8,-1,-5.4,1.1,-5.4,1.1,1.0,-7.8,-5.7,5,1108.0,Financials - Misc,Mid Cap
3BBLACKBIO,,13.8,-2,-8,-1,9.6,6.7,9.6,6.7,-9.0,-7.9,-5.4,0,1369.3,,
3MINDIA,10.0,16.2,-6,-1,-1,-2.2,3.3,-2.2,3.3,-0.4,-5.7,-4.3,5,34220.0,Others,Mid Cap
3PLAND,31.8,62.5,-8,-8,-4,-1.9,4.2,-1.9,4.2,-4.6,-10.9,-12.2,5,30.74,Financials - Misc,Small Cap
5PAISA,24.4,58.4,-5,-9,-1,-15.2,-9.0,-15.2,-9.0,-6.7,-18.2,-11.6,3,315.3,Financials - Broking,Small Cap
63MOONS,12.1,25.5,-7,-5,-1,10.1,15.6,10.1,6.8,-7.4,-10.6,-10.6,4,841.75,IT - Software/Consulting,Small Cap
AAATECH,31.1,41.7,-5,-1,-4,3.0,4.2,3.0,4.2,0.7,-2.1,-7.0,7,93.73,Others,Small Cap
AADHARHFC,19.3,19.3,-9,-9,-3,-7.7,-6.7,-7.7,-6.7,-4.5,-14.2,-11.8,3,454.55,,
AAREYDRUGS,1.4,1.4,-1,-1,4,6.8,23.2,3.4,14.6,0.2,0.4,12.6,7,102.52,Healthcare - Pharma,Small Cap
AARON,47.2,53.3,-8,-7,-5,-0.5,-5.9,-0.5,-5.9,-11.9,-20.7,-18.0,7,120.48,Engineering,Small Cap
AARTECH,20.3,51.1,-1,-8,2,3.1,9.4,3.1,4.7,-0.7,-1.3,1.9,2,51.58,Power - Equipment,Small Cap
AARTIDRUGS,18.3,57.5,1,-8,0,3.2,7.4,1.9,4.9,0.5,0.7,2.9,2,436.25,Healthcare - Pharma,Small Cap
AARTISURF,24.0,72.3,-5,-9,-1,-0.9,32.8,-0.9,32.8,-5.3,-22.0,-1.1,1,514.75,Chemicals - Specialty,Small Cap
AARVI,17.9,31.9,-8,-8,-2,-7.9,1.5,-7.9,1.5,-3.2,-11.8,-11.8,1,138.18,Human Resources,Small Cap
AAVAS,27.4,61.5,-9,-1,-3,0.4,-3.6,0.4,-3.6,-2.7,-15.8,-15.5,2,1285.8,Financials - Housing,Small Cap
ABAN,67.0,95.1,-6,-9,-5,-15.1,-4.7,-15.1,-4.7,-5.2,-29.3,-36.2,0,14.13,Oil and Gas,Small Cap
ABCAPITAL,7.8,7.8,-5,-2,-1,-0.5,3.8,-0.5,3.8,-1.7,-3.9,-3.2,2,397.0,Financials - Misc,Mid Cap
ABDL,9.0,9.0,-1,-1,-3,3.4,25.6,2.6,3.9,-0.8,0.0,-3.0,7,647.9,Beverages - Alcohol,Small Cap
ABFRL,44.8,86.5,-7,-9,-4,-16.3,-18.9,-16.3,-18.9,-5.1,-22.5,-24.5,5,49.09,Consumption - Retail,Mid Cap
ABMINTLLTD,34.0,81.0,-6,-9,-1,-7.9,16.1,-7.9,16.1,-14.0,-23.1,-13.0,2,48.02,Others,Small Cap
ABREL,37.0,61.6,-7,-9,-4,-12.6,-10.6,-12.6,-10.6,-10.8,-16.7,-18.8,2,1206.4,Paper,Small Cap
ABSLAMC,16.1,16.2,-9,-6,-3,1.5,4.7,1.5,4.7,-7.5,-10.7,-13.0,3,1027.0,Financials - AMC,Small Cap
