Symbol,DD_52W,DD_ATH,W_BO,D_BO,M_BO,W_SL,M_SL,W_PSL,M_PSL,D_CHG,W_CHG,M_CHG,Trend,CurPrice,Sector,MarketCap
20MICRONS,8.3,37.5,-2,-2,-1,5.8,12.1,5.8,4.9,-1.1,-3.3,-0.2,5,217.58,Metals - Misc,Small Cap
21STCENMGM,25.9,71.8,-6,-1,-1,-3.4,14.3,-3.4,14.3,0.4,-9.5,-1.2,2,39.87,Financials - Misc,Small Cap
360ONE,13.2,18.6,-4,-2,-1,-8.4,-1.8,-8.4,-1.8,-2.6,-10.7,-8.7,5,1073.0,Financials - Misc,Mid Cap
3BBLACKBIO,,8.4,-2,1,0,16.6,13.5,16.6,13.5,2.2,-2.0,0.6,0,1456.2,,
3MINDIA,10.8,17.0,-6,-3,-1,-3.1,2.4,-3.1,2.4,-1.9,-6.5,-5.1,5,33925.0,Others,Mid Cap
3PLAND,31.3,62.2,-8,-1,-4,-1.1,5.1,-1.1,5.1,-2.1,-10.2,-11.5,5,30.99,Financials - Misc,Small Cap
5PAISA,25.9,59.3,-5,-9,-1,-16.9,-10.9,-16.9,-10.9,-5.7,-19.9,-13.4,3,308.9,Financials - Broking,Small Cap
63MOONS,10.5,24.1,-7,-8,-1,12.2,17.9,12.2,8.8,-5.6,-8.9,-8.9,4,857.65,IT - Software/Consulting,Small Cap
AAATECH,25.4,36.9,4,0,3,18.0,21.1,13.7,21.1,8.5,6.0,0.7,7,101.5,Others,Small Cap
AADHARHFC,21.0,21.0,-9,-6,-3,-9.7,-8.7,-9.7,-8.7,-4.3,-16.1,-13.8,3,444.5,Financials - Housing,Small Cap
AAREYDRUGS,2.3,2.3,-1,-4,4,5.9,21.9,5.9,13.7,-0.9,-0.5,11.5,7,101.57,Healthcare - Pharma,Small Cap
AARON,45.6,51.9,-8,-9,-5,2.5,-3.0,2.5,-3.0,-4.9,-18.3,-15.6,7,124.11,Engineering,Small Cap
AARTECH,22.6,52.5,-1,-8,-3,3.1,14.8,3.1,2.1,-3.5,-4.1,-3.4,2,50.11,Power - Equipment,Small Cap
AARTIDRUGS,20.0,58.4,-2,-1,0,1.1,5.3,0.6,2.9,-2.8,-1.4,0.8,2,427.4,Healthcare - Pharma,Small Cap
AARTISURF,23.9,72.2,-5,-5,-1,-0.7,33.4,-0.7,33.4,-3.7,-21.9,-0.9,1,515.7,Chemicals - Specialty,Small Cap
AARVI,18.7,32.6,-8,-5,-2,-8.7,-0.8,-8.7,-0.8,-3.7,-12.6,-12.6,1,136.91,Human Resources,Small Cap
AAVAS,28.5,62.0,-9,-3,-3,-6.1,-5.0,-6.1,-5.0,-4.1,-17.0,-16.6,2,1267.7,Financials - Housing,Small Cap
ABAN,67.6,95.2,-6,-4,-5,-16.8,-6.6,-16.8,-6.6,-5.3,-30.7,-37.4,0,13.85,Oil and Gas,Small Cap
ABCAPITAL,9.4,9.4,-5,-5,-1,-2.3,2.2,-2.3,2.2,-3.4,-5.6,-4.9,2,390.0,Financials - Misc,Mid Cap
ABDL,5.1,5.1,0,-1,2,14.1,21.9,8.8,13.2,4.2,10.4,7.1,7,715.05,Beverages - Alcohol,Small Cap
ABFRL,44.8,86.5,-7,-5,-4,-16.2,-18.8,-16.2,-18.8,-2.6,-22.4,-24.4,5,49.14,Consumption - Retail,Mid Cap
ABINFRA,,46.6,-5,-2,1,10.5,18.6,6.3,8.9,1.4,-0.4,7.6,5,12.58,Engineering,Small Cap
ABLBL,,53.1,-7,-9,-3,-14.3,-16.4,-14.3,-16.4,-5.9,-17.5,-18.8,0,78.72,Speciality Retail,Small Cap
ABMINTLLTD,37.9,82.1,-6,-9,-1,-13.3,9.3,-13.3,9.3,-14.1,-27.6,-18.1,2,45.2,Others,Small Cap
ABREL,35.7,60.8,-7,-9,-4,-10.8,-8.8,-10.8,-8.8,-5.1,-15.0,-17.2,2,1230.9,Paper,Small Cap
ABSLAMC,16.8,17.2,-9,-9,-3,0.2,3.4,0.2,3.4,-8.6,-11.8,-15.4,3,1014.5,Financials - AMC,Small Cap
ACC,37.8,56.5,-9,-4,-4,-9.0,-3.4,-9.0,-3.4,-1.9,-10.3,-21.1,3,1236.4,Infra - Cement,Mid Cap
ACCELYA,27.3,47.8,-8,-5,-1,-2.0,-0.9,-2.0,-0.9,-1.4,-5.5,-4.3,2,1110.0,IT - Software/Consulting,Small Cap
ACEINTEG,35.6,78.6,-9,-3,-2,-7.5,-8.6,-7.5,-8.6,-2.7,-13.4,-25.2,2,17.58,Human Resources,Small Cap
ACI,31.5,42.4,-8,-1,-4,-10.2,-15.0,-10.2,-15.0,0.1,-13.4,-20.5,4,482.55,Chemicals - Bulk,Small Cap
ACL,50.2,94.3,-9,-6,-4,-8.0,-18.9,-8.0,-18.9,-0.8,-14.4,-24.3,2,42.63,Infra - Cement,Small Cap
ACMESOLAR,7.1,7.1,0,-2,0,7.6,20.9,7.6,11.7,-3.6,1.8,10.2,7,442.9,Power - Green,Small Cap
ADANIENSOL,25.2,68.4,-9,-5,-1,-18.0,-2.2,-18.0,-2.2,-5.2,-22.4,-19.1,5,1338.5,Power - Misc,Large Cap
ADANIENT,10.1,30.4,-4,-8,-2,-1.6,7.9,-1.6,7.9,-4.7,-8.0,-4.1,5,2916.5,Metals - Misc,Large Cap
ADANIGREEN,20.5,57.5,-9,-5,-3,2.1,11.1,2.1,11.1,-1.5,-15.0,-14.1,4,1296.6,Power - Green,Large Cap
ADANIPORTS,5.5,5.5,-9,-5,-2,2.3,11.6,2.3,11.6,-0.8,-2.7,-2.3,7,1788.0,Infra - Construction,Large Cap
ADANIPOWER,20.2,20.2,-9,-8,-4,-0.7,22.6,-0.7,22.6,-3.8,-6.6,-16.7,8,202.75,Power - Misc,Large Cap
ADFFOODS,22.0,23.5,-8,-1,-2,2.2,13.8,2.2,13.8,0.3,-15.2,-14.1,5,270.6,Consumption - Misc,Small Cap
ADL,36.5,52.4,-3,-1,-4,-1.4,4.7,-1.4,4.7,-6.8,-10.4,-11.0,6,69.81,Infra - Laminates,Small Cap
ADOR,7.2,7.4,-2,8,-1,4.1,14.1,4.1,14.1,0.7,-2.1,-3.9,5,1638.9,Engineering,Small Cap
ADSL,43.6,63.9,-7,7,-2,20.9,-1.4,19.1,-1.4,16.4,-3.7,-9.5,3,115.52,IT - Services,Small Cap
ADVAIT,,23.3,-7,-8,-3,-10.6,1.0,-10.6,1.0,-7.7,-18.5,-20.3,0,1906.0,Cables - Electricals,Small Cap
ADVANIHOTR,26.8,47.7,-6,-9,-2,-5.7,-6.2,-5.7,-6.2,-2.5,-8.0,-12.0,4,47.94,Leisure - Hotels,Small Cap
ADVENZYMES,30.5,49.0,-7,-3,-3,-8.6,-1.7,-8.6,-1.7,-2.3,-12.8,-22.2,0,291.15,Healthcare - Biotech,Small Cap
AEGISLOG,10.7,10.7,-4,-4,0,1.7,15.7,1.7,7.6,-6.2,-4.1,6.1,5,1365.4,Utility - Gas,Small Cap
AEGISVOPAK,10.4,10.4,-1,-3,-1,1.7,10.3,1.7,5.4,-9.1,-8.7,-1.9,5,287.5,Oil Storage & Transportation,Small Cap
AEQUS,,10.3,-4,1,0,1.9,11.4,1.9,11.4,1.4,-5.4,0.7,5,246.05,Engineering,Small Cap
AEROENTER,21.3,21.3,-3,-8,-2,-7.9,41.3,-7.9,41.3,-8.4,-14.8,-11.9,4,125.64,Metals - Iron & Steel,Small Cap
AEROFLEX,10.0,10.0,-1,-8,-1,2.0,16.3,2.0,16.3,-6.8,-6.8,0.1,5,525.7,Metals - Iron & Steel,Small Cap
AERONEU,24.0,40.3,-9,-1,-3,22.6,-3.4,7.2,-3.4,7.9,-11.3,-22.9,0,80.22,Packaging,Small Cap
AETHER,1.7,1.7,2,7,0,9.0,19.9,7.7,11.2,5.5,3.7,4.5,4,1767.0,Chemicals - Specialty,Small Cap
AFCONS,,55.7,-9,-8,-3,-9.6,-18.6,-9.6,-18.6,-8.8,-15.8,-20.0,0,252.5,Engineering,Small Cap
AFFLE,20.9,27.8,-4,-3,-1,-2.1,5.8,-2.1,5.8,-1.1,-8.7,-1.9,6,1578.0,IT - Product/Platform,Small Cap
AFSL,11.5,67.8,-3,-1,-1,-0.0,0.0,-0.0,0.0,-1.9,-5.3,-5.2,2,201.0,Others,Small Cap
AGARIND,58.2,71.2,-6,-8,-3,-21.0,-13.3,-21.0,-13.3,-7.8,-23.6,-27.6,3,397.9,Chemicals - Petro,Small Cap
AGI,10.4,38.6,2,-2,0,8.0,14.5,4.7,8.0,-4.4,2.9,3.5,5,803.35,Packaging,Small Cap
AGIIL,,39.1,-9,-2,-2,-14.8,-24.3,-14.8,-24.3,-3.3,-23.3,-27.9,7,264.55,Infra - Construction,Small Cap
AGRITECH,48.7,68.9,-7,-6,-3,-10.3,-11.2,-10.3,-11.2,-4.0,-16.5,-19.3,3,96.03,Agri - Misc,Small Cap
