Symbol,Folio,Category,IC,CC,PnL,DD_52W,DD_ATH,LT_Type,LT_days,LT_Pert,W_BO,D_BO,M_BO,W_SL,M_SL,W_PSL,M_PSL,D_CHG,W_CHG,M_CHG,AvgPrice,Trend,CurPrice,Sector,MarketCap,Qty,LT_Date,LT_Price
AARTIPHARM,Sate,Sate,0.5,0.5,5.2,2.3,3.2,Buy,3,5.2,1,-2,0,15.8,27.8,9.8,16.5,0.2,9.1,11.1,893.0,8,939.55,Healthcare - Pharma,Small Cap,25,2026-09-22,893.0
ABB,Sate,Sate,0.2,0.1,-7.5,11.0,22.9,Sell,10,-2.5,-5,-9,-1,-4.7,-0.0,-4.7,-0.0,-3.0,-7.8,-7.7,7627.0,6,7052.5,Power - Equipment,Large Cap,1,2026-09-11,7230.0
ACE,Sate,Sate,1.2,1.2,15.6,3.3,27.6,Buy,5,2.0,-1,-2,0,6.4,16.8,6.4,10.5,-1.5,-0.2,10.5,1060.83,5,1226.6,Auto - CV,Small Cap,48,2026-09-18,1202.0
ANANDRATHI,Sate,TFReport,0.4,0.3,-2.4,6.2,6.2,Buy,32,-2.4,-1,-5,-1,-1.1,6.0,-1.1,6.0,-4.4,-4.6,-3.5,2178.0,8,2126.8,Financials - Misc,Small Cap,8,2026-08-12,2178.0
APOLLO,Sate,Sate,0.5,0.4,-6.0,15.2,15.2,Buy,13,-6.0,-1,-8,-2,1.9,11.7,1.9,11.7,-6.3,-6.3,-7.6,421.0,8,395.6,Defense - Technology,Small Cap,50,2026-09-08,421.0
ARTEMISMED,Sate,Sate,0.4,0.4,4.3,5.6,5.6,Buy,13,4.3,0,8,0,8.0,22.7,4.3,13.3,1.5,2.9,12.7,343.0,7,357.7,Healthcare - Hospitals,Small Cap,50,2026-09-08,343.0
ASTRAMICRO,Sate,Sate,0.1,0.1,-8.6,17.2,17.2,Sell,29,-5.6,-7,-8,-1,-9.0,14.8,-9.0,14.8,-3.5,-13.6,-13.6,1775.0,7,1622.4,Defense - Technology,Small Cap,3,2026-08-17,1719.0
AUROPHARMA,Sate,TFReport,0.6,0.6,9.4,1.6,1.6,Buy,42,7.6,-1,-5,-1,2.3,8.4,1.1,4.6,-0.5,-1.3,-0.3,1565.59,5,1712.0,Healthcare - Pharma,Mid Cap,17,2026-07-29,1591.0
AVALON,Sate,Sate,0.2,0.2,-4.6,11.1,11.1,Buy,5,-4.6,-1,-4,-1,2.1,25.9,2.1,11.6,-7.2,-8.2,-1.9,2442.0,5,2328.5,Electronic - Equipment,Small Cap,4,2026-09-18,2442.0
BBOX,Sate,Sate,0.4,0.3,-4.2,23.8,27.5,Buy,4,-4.2,-9,-3,-4,3.4,16.9,3.4,16.9,-2.8,-12.6,-22.9,835.0,6,799.75,IT - Services,Small Cap,20,2026-09-21,835.0
