Sector,Count,W_RSI,WD_RSI,M_RSI,MD_RSI
2/3 Wheelers,1,74,-7,85,-9
Abrasives & Bearings,1,61,3,,
Agri - Animal Feed,4,40,-5,47,2
Agri - Edible Oil,10,39,2,44,-1
Agri - Misc,11,39,-2,37,-2
Agri - Rice,3,52,-7,52,-3
Agri - Seeds,3,29,-1,28,-2
Agri - Sugar,22,53,-6,32,-3
Agri - Tea/Coffee,11,44,-2,53,-2
Agrichem - Fertilizers,21,43,-1,45,-1
Agrichem - Protection,21,39,0,41,0
Aluminium Copper & Zinc Products,1,49,-1,,
Auto - 2W,4,53,0,44,-3
Auto - CV,5,54,1,52,0
Auto - Misc,9,40,-2,43,-2
Auto - OEM Suppliers,47,54,-1,49,1
Auto - PV/Trucks,7,38,0,40,-2
Auto - Replacement,20,46,-1,45,-2
Auto - Tyres,6,45,-1,35,-2
Auto Components & Equipments,1,57,3,89,0
Batteries,4,42,1,34,-1
Beverages - Alcohol,12,43,1,41,0
Cables - Electricals,2,62,-9,,
Chemicals - Bulk,24,50,0,44,-1
Chemicals - Dyes,11,63,0,53,3
Chemicals - Misc,9,43,3,33,1
Chemicals - Petro,9,56,-2,43,2
Chemicals - Specialty,46,51,-1,44,0
Consumption - Appliances,18,38,-2,37,-1
Consumption - Dairy,7,60,-3,54,0
Consumption - Electronics,9,44,-1,41,-1
Consumption - FMCG,12,45,-1,40,-2
Consumption - Footwear,8,40,-3,35,1
Consumption - Jewelry,21,54,-1,50,1
Consumption - Luggage,2,33,-2,24,0
Consumption - Misc,29,40,1,39,0
Consumption - Paints,7,49,-2,42,-2
Consumption - Personal,9,38,2,38,0
Consumption - Retail,12,51,1,35,0
Defense - Misc,15,51,-3,53,1
Defense - Ship Building,4,40,-1,47,-2
Defense - Technology,6,48,-4,58,-2
Diversified Commercial Services,1,61,-2,78,
E-Learning,1,63,1,,
E-Retail/ E-Commerce,1,69,-5,,
Electronic - Equipment,19,59,-2,60,2
Engineering,65,49,-1,46,0
Financial Technology (Fintech),1,53,-6,,
Financials - AMC,6,46,-3,58,-1
Financials - Broking,17,44,0,50,1
Financials - Housing,13,46,-1,38,-1
Financials - Life,5,39,6,36,0
Financials - MFI,5,45,-2,33,-1
Financials - Misc,51,46,1,49,0
Financials - NBFC,40,43,-1,41,-1
Financials - Non-Life,4,40,-1,28,-1
Financials - PSU Bank,12,33,-1,43,-1
Financials - Private Bank,29,52,0,49,-1
Financials - Ratings,3,41,-2,57,-2
Gems Jewellery And Watches,2,51,-3,,
Healthcare - Biotech,5,50,-2,48,1
Healthcare - Diagnostics,6,57,1,61,-1
Healthcare - Equipments,3,56,0,49,-1
Healthcare - Hospitals,19,59,3,55,1
Healthcare - Pharma,103,57,-1,54,1
Healthcare Service Provider,1,62,-4,,
Heavy Electrical Equipment,1,56,-5,,
Hospital,1,60,1,,
Hotels & Resorts,1,70,-2,71,-8
Household Appliances,1,53,3,,
Housing Finance Company,1,66,0,,
Human Resources,9,46,-1,39,1
IT - Education,6,45,-1,28,0
IT - Equipments,10,51,-2,51,1
IT - Product/Platform,43,49,0,45,-1
IT - Services,31,43,0,40,0
