Symbol,Sector,MarketCap,Close,D_CHG,W_CHG,M_CHG,DD_52W,DD_ATH,Trend,W_BO,M_BO,D_BO,W_SL,M_SL,W_PSL,M_PSL
GUJGASLTD,Utility - Gas,Small Cap,247.7,-11.7,-14.6,-14.6,NA,NA,0,-7,-1,-9,-5.5,-5.2,-5.5,-5.2
AUTOIETF,NA,NA,28.74,-5.0,-8.6,-4.1,8.6,NA,0,-4,-1,-8,-2.3,2.7,-2.3,2.7
VMARCIND,Industrial - Consumables,Small Cap,332.45,-12.4,-16.3,-77.1,80.5,80.5,7,-3,-3,-9,-5.8,-54.2,-5.8,-54.2
VINYAS,Electronic - Equipment,Small Cap,1477.1,-7.2,-10.5,-4.4,14.6,14.6,8,-3,-1,-2,5.3,8.3,5.3,8.3
^NSEI,NA,NA,23118.6,-4.0,-6.0,-6.2,12.3,12.3,8,-5,-1,-9,-4.1,-3.6,-4.1,-3.6
PALASHSECU,Consumption - FMCG,Small Cap,88.72,-2.1,-10.3,-11.3,32.7,55.3,3,-5,-4,-7,2.9,-3.8,2.9,-3.8
INDIGRID,Financials - Misc,Small Cap,173.19,-1.4,-4.3,-3.4,4.3,4.3,5,-9,-1,-8,-2.3,0.6,-2.3,0.6
SHREMINVIT,Financials - Misc,Small Cap,100.5,-0.5,-4.2,-1.5,5.2,14.8,3,-6,-3,-7,-0.5,0.6,-0.5,0.6
REMUS,Others,Small Cap,884.8,-3.3,-8.0,-1.6,10.4,89.9,0,-3,-1,-3,1.7,11.8,1.7,11.8
KODYTECH,IT - Software/Consulting,Small Cap,1411.0,-10.2,-10.1,-5.3,11.6,66.2,2,-2,-1,-5,-1.1,12.2,-1.1,12.2
PGINVIT,Financials - Misc,Small Cap,101.71,-1.1,-0.8,1.8,1.8,28.4,2,-1,0,-3,1.4,4.6,1.4,2.4
ALPEXSOLAR,IT - Equipments,Small Cap,906.35,-2.0,-3.0,-17.0,31.3,37.5,3,-1,-5,-4,2.8,2.7,2.8,2.7
BLUECOAST,Leisure - Hotels,Small Cap,21.09,-9.3,-24.0,-34.9,68.4,86.4,0,-9,-4,-5,-21.9,-17.7,-21.9,-17.7
NIRAJISPAT,Others,Small Cap,300.0,-30.0,-22.6,-15.5,30.2,51.0,3,-2,-1,-8,28.6,22.3,28.6,22.3
HERCULES,Engineering,Small Cap,159.32,0.0,0.0,0.0,29.2,77.6,3,-1,-1,-1,0.0,0.0,0.0,0.0
SELMC,Textile - Spinning/Yarn,Small Cap,27.79,-5.7,-7.9,-14.5,35.9,99.4,1,-7,-4,-7,4.9,-3.2,4.9,-3.2
GTECJAINX,IT - Education,Small Cap,28.36,-2.2,-14.3,-6.1,15.3,79.8,4,-5,-3,-1,1.4,9.6,1.4,9.6
SANGINITA,Chemicals - Bulk,Small Cap,68.31,2.0,4.0,4.5,0.0,61.5,1,0,1,-1,13.7,35.7,7.0,20.7
IPRINGLTD,NA,NA,139.5,-19.1,-12.8,-11.0,NA,25.4,0,-2,-1,-9,-1.1,4.9,-1.1,4.9
MHLXMIRU,Others,Small Cap,149.87,-14.6,-23.1,-19.8,38.7,60.1,2,-4,-4,-9,-6.1,-10.4,-6.1,-10.4
PODDARMENT,Chemicals - Dyes,Small Cap,267.5,-12.1,-4.4,0.9,19.8,43.8,2,-1,0,-4,5.3,7.0,5.3,0.7
DIGISPICE,IT - Services,Small Cap,16.6,-2.7,-18.7,-20.3,42.7,85.5,2,-9,-5,-1,-8.8,-9.3,-8.8,-9.3
ASAHISONG,Chemicals - Dyes,Small Cap,349.8,-9.5,-15.5,-15.5,15.5,40.6,2,-6,-1,-3,7.3,22.1,7.3,22.1
ELDEHSG,Real Estate,Small Cap,769.15,-3.0,-8.4,-12.8,26.3,34.5,6,-3,-4,-1,-1.1,2.1,-1.1,2.1
SAHYADRI,Infra - Cement,Small Cap,363.4,-8.4,-9.1,2.0,11.1,24.9,0,-1,0,-6,0.5,15.7,0.5,6.3
MINDSPACE,Financials - Misc,Small Cap,498.78,-0.8,-0.5,0.6,2.5,2.5,7,-2,0,-7,1.3,2.8,1.3,2.8
MASKINVEST,Financials - Misc,Small Cap,147.84,-3.9,-6.8,-5.2,39.9,49.4,4,-5,-4,-3,0.3,7.8,0.3,7.8
DYNPRO,Chemicals - Dyes,Small Cap,230.0,-4.1,-16.4,-16.4,36.8,70.0,2,-6,-1,-7,-5.2,5.5,-5.2,5.5
SANDESH,Media - Publishing,Small Cap,1045.5,-1.6,-9.5,-4.9,17.7,49.2,2,-5,-4,-7,1.0,7.5,1.0,7.5
PRECOT,Textile - Spinning/Yarn,Small Cap,648.45,-8.7,-23.7,-23.7,27.9,27.9,4,-6,-1,-6,-18.0,-1.7,-18.0,-1.7
GUJRAFFIA,Packaging,Small Cap,40.23,-3.5,-7.8,-8.4,54.3,62.0,1,-4,-4,-3,1.3,14.6,1.3,14.6
MICEL,Electronic - Equipment,Small Cap,34.4,-11.8,-17.3,-21.4,44.1,70.0,1,-2,-4,-9,-6.4,-8.0,-6.4,-8.0
DONEAR,Textiles - Processing,Small Cap,82.06,-10.3,-12.6,-11.4,29.6,55.6,4,-1,-4,-7,-2.3,-6.5,-2.3,-6.5
STARTECK,Financials - NBFC,Small Cap,233.1,-12.5,-19.9,-19.1,33.4,43.5,2,-9,-2,-8,-2.9,-8.3,-2.9,-8.3
EIFFL,Consumption - FMCG,Small Cap,270.1,-6.9,-20.3,-16.9,29.3,29.3,4,-9,-1,-9,-14.4,1.2,-14.4,1.2
IVP,Chemicals - Bulk,Small Cap,209.0,-4.2,-2.6,4.0,5.9,27.9,2,-1,0,-4,9.8,24.4,9.8,10.7
STEELCITY,Financials - Broking,Small Cap,85.44,-5.8,-5.4,-2.8,17.7,44.4,0,-1,0,-2,3.6,6.8,3.6,2.7
ALPA,Healthcare - Pharma,Small Cap,60.7,-4.7,-13.9,-15.7,35.3,58.0,4,-9,-3,-7,-9.5,-6.6,-9.5,-6.6
SUNDRMBRAK,Auto - Replacement,Small Cap,681.0,-9.2,-25.0,-17.6,26.0,52.7,2,-4,-2,-8,-11.3,-9.9,-11.3,-9.9
GROBTEA,Agri - Tea/Coffee,Small Cap,959.4,-2.4,-7.7,-3.7,21.7,63.5,1,-4,-1,-7,-0.1,2.5,-0.1,2.5
IRIS,IT - Services,Small Cap,234.25,-11.5,-15.7,-11.6,39.6,59.4,2,-1,-2,-6,-3.9,1.8,-3.9,1.8
SHIVAUM,Others,Small Cap,472.45,-0.7,1.5,5.9,2.6,2.6,6,-1,0,-1,5.3,18.1,5.3,8.8
ZENITHEXPO,Leather Products,Small Cap,206.0,-2.3,-13.1,-4.2,21.4,54.5,5,-5,-4,-1,1.2,7.3,1.2,7.3
HMVL,Media - Publishing,Small Cap,77.55,-11.3,-21.4,-18.0,28.3,75.3,0,-6,-2,-7,-15.4,-6.7,-15.4,-6.7
AMBICAAGAR,Consumption - Misc,Small Cap,25.0,-8.1,-8.1,-2.2,15.8,43.7,4,-2,-2,-7,1.0,3.5,1.0,3.5
IITL,Financials - NBFC,Small Cap,146.6,-5.2,-6.3,-11.7,31.8,67.1,3,-3,-5,-9,1.0,3.1,1.0,3.1
FLEXITUFF,Chemicals - Misc,Small Cap,2.35,-5.6,-58.9,-73.0,90.5,98.9,0,-9,-5,-9,-51.5,-58.9,-51.5,-58.9
GKWLIMITED,Financials - Misc,Small Cap,1551.2,-3.6,-13.8,-15.3,21.9,62.6,4,-9,-3,-7,-6.3,-5.2,-6.3,-5.2
AHLEAST,Leisure - Hotels,Small Cap,133.95,-4.7,-11.9,-17.0,23.6,40.2,3,-7,-4,-9,-6.5,-12.9,-6.5,-12.9
