Symbol,Folio,DD_52W,DD_ATH,W_BO,D_BO,M_BO,W_SL,M_SL,W_PSL,M_PSL,D_CHG,W_CHG,M_CHG,Trend,CurPrice,Sector,MarketCap,Notes
TVSMOTOR,TFCore,7.1,7.1,-7,-1,-1,7.1,12.7,7.1,12.7,0.3,-6.2,-4.1,5,4165.0,Auto - 2W,Large Cap,
M&M,TFCore,20.3,20.3,-6,-9,-1,-5.3,-4.2,-5.3,-4.2,-3.1,-12.8,-11.7,6,3060.7,Auto - PV/Trucks,Large Cap,
CCL,TFCore,13.7,13.7,-9,-9,-2,-8.0,-4.8,-8.0,-4.8,-3.8,-11.0,-9.8,6,1072.6,Consumption - Misc,Small Cap,
HDFCAMC,TFCore,17.6,17.6,-9,-9,-3,-3.7,-3.1,-3.7,-3.1,-0.3,-11.2,-10.5,4,2444.0,Financials - AMC,Mid Cap,
LT,TFCore,12.3,12.3,-4,-9,-3,-3.1,-1.1,-3.1,-1.1,-2.2,-5.0,-7.9,6,3896.0,Infra - Construction,Large Cap,
CONTROLPR,TFCore,28.2,44.1,-9,-1,-5,0.8,-1.0,0.8,-1.0,-1.6,-8.3,-7.7,2,596.0,IT - Equipments,Small Cap,
KEI,TFCore,21.8,21.8,-5,-8,-1,-10.3,-3.4,-10.3,-3.4,-3.4,-19.1,-19.6,8,4613.0,Power - Wiring,Mid Cap,
PSPPROJECT,TFCore,28.3,28.3,-9,-8,-2,-15.7,-6.4,-15.7,-6.4,-6.5,-22.6,-18.9,3,819.45,Infra - Construction,Small Cap,
BAJFINANCE,TFCore,12.9,12.9,-7,-9,-1,-3.0,1.3,-3.0,1.3,-3.5,-12.9,-12.9,7,1024.7,Financials - NBFC,Large Cap,
EICHERMOT,TFCore,8.7,8.7,-6,-9,-1,-5.1,2.2,-5.1,2.2,-2.6,-6.8,-5.5,5,7515.5,Auto - 2W,Large Cap,
ICICIGI,TFCore,26.8,34.4,-8,8,-3,-3.8,-12.8,-3.8,-12.8,0.4,-16.3,-19.5,5,1511.0,Financials - Non-Life,Large Cap,
TATACONSUM,TFCore,21.6,21.6,-8,-1,-4,-6.7,-8.6,-6.7,-8.6,-0.8,-9.8,-14.6,6,1005.9,Consumption - Misc,Large Cap,
SAFARI,TFCore,40.7,45.8,-9,-4,-3,1.1,-4.7,1.1,-4.7,-3.4,-9.4,-17.3,5,1486.9,Consumption - Luggage,Small Cap,
HBLENGINE,TFCore,33.1,33.1,-1,-1,-4,4.3,-2.0,4.3,-2.0,-1.0,-1.2,-8.7,5,750.8,Railways,Small Cap,
BAJAJ-AUTO,TFCore,7.7,9.9,-3,-9,-1,-1.6,4.2,-1.6,4.2,-2.6,-3.4,-5.1,6,11510.0,Auto - 2W,Large Cap,
SCHAEFFLER,TFCore,7.5,16.5,-1,-1,-3,2.8,2.0,2.8,2.0,0.2,-2.0,-5.0,6,4133.9,Industrial - Bearings,Mid Cap,
KSB,TFCore,22.0,24.4,-9,-8,-4,0.1,-6.4,0.1,-6.4,-1.7,-14.7,-18.1,5,801.8,Industrial - Pumps/Engines,Small Cap,
