Symbol,Folio,DD_52W,DD_ATH,W_BO,D_BO,M_BO,W_SL,M_SL,W_PSL,M_PSL,D_CHG,W_CHG,M_CHG,CurPrice,Sector,MarketCap,Notes
CUPID,TFStage2,-6.2,-6.2,-2,-11,0,5.3,64.0,5.3,30.2,-4.6,-4.8,21.6,280.46,Consumption - Personal,Small Cap,
BAJAJCON,TFStage2,-31.0,-31.0,-7,-13,-2,-20.7,-6.8,-20.7,-6.8,-12.0,-28.9,-20.3,477.45,Consumption - Personal,Small Cap,
SANSERA,TFStage2,-0.81,-0.81,1,8,0,5.2,33.9,5.2,19.9,0.5,2.0,20.1,4018.0,Auto - OEM Suppliers,Small Cap,
KIRLOSENG,TFStage2,-21.94,-21.94,-8,-5,-1,-5.2,12.0,-5.2,12.0,-0.2,-14.8,-10.6,2123.1,Industrial - Pumps/Engines,Small Cap,
BHARATFORG,TFStage2,-8.28,-8.28,-3,8,-1,-2.8,8.5,-2.8,8.5,0.8,-7.6,-4.3,2104.9,Metals - Casting/Forging,Mid Cap,
STYLAMIND,TFStage2,-15.48,-15.48,-2,-7,0,0.7,13.5,0.7,13.5,-5.4,-4.1,3.6,3507.5,Paper,Small Cap,
ATHERENERG,TFStage2,0.0,0.0,0,0,0,15.3,58.4,8.4,33.6,9.2,6.3,36.3,1717.7,,,
LUPIN,TFStage2,-14.15,-14.15,-8,-12,-1,-8.9,-6.3,-8.9,-6.3,-6.2,-13.0,-10.6,2171.5,Healthcare - Pharma,Mid Cap,
BELRISE,TFStage2,-13.37,-13.37,-3,-12,-1,-2.5,2.9,-2.5,2.9,-10.5,-9.0,-3.4,232.34,,,
BLISSGVS,TFStage2,-2.38,-2.38,0,4,1,7.4,33.4,7.4,20.9,0.8,0.0,9.0,588.1,Healthcare - Pharma,Small Cap,
ANZEN,TFStage2,,,,,,,,,,,,,,,,
INDUSINVIT,TFStage2,,,,,,,,,,,,,,,,
CHENNPETRO,TFStage2,-8.21,-8.21,-1,-7,0,2.6,19.1,2.6,10.1,-5.4,-2.7,8.5,1367.4,Petro - Refineries,Small Cap,
HAPPYFORGE,TFStage2,-0.43,-0.43,0,6,0,13.9,62.3,7.7,37.2,3.6,4.6,45.9,2412.0,Metals - Casting/Forging,Small Cap,
