Symbol,Folio,DD_52W,DD_ATH,W_BO,D_BO,M_BO,W_SL,M_SL,W_PSL,M_PSL,D_CHG,W_CHG,M_CHG,Trend,CurPrice,Sector,MarketCap,Notes
VINCOFE,TFStudy,7.3,7.3,-4,-7,-1,8.7,10.1,8.7,10.1,-1.8,-1.4,-5.5,7,175.5,Agri - Tea/Coffee,Small Cap,
PDSL,TFStudy,16.6,47.6,-5,-9,-1,-2.5,8.0,-2.5,8.0,-2.3,-6.1,-5.7,6,349.0,Textile - Misc,Small Cap,IAS-2026
SAMBHV,TFStudy,2.8,2.8,0,0,0,17.6,32.3,17.6,20.1,12.9,6.5,22.8,5,157.13,Metals - Iron & Steel,Small Cap,IAS-2026
QPOWER,TFStudy,4.1,4.1,-2,-1,0,4.3,22.1,4.3,12.1,-1.2,-3.5,4.9,5,1505.8,Power - Equipment,Small Cap,IAS-2026
GRAVITA,TFStudy,17.8,41.8,-4,-7,-1,-11.4,-2.5,-11.4,-2.5,-7.2,-15.5,-12.6,5,1572.7,Metals - Misc,Small Cap,IAS-2026
GUFICBIO,TFStudy,6.2,12.9,-2,-9,0,5.0,12.9,5.0,7.0,-2.7,-2.4,5.4,4,439.0,Healthcare - Pharma,Small Cap,IAS-2026
NKE,TFStudy,,,,,,,,,,,,,,,,,IAS-2026
REPCOHOME,TFStudy,23.4,62.2,-9,-8,-2,-9.1,-9.5,-9.1,-9.5,-3.2,-13.2,-16.8,1,349.0,Financials - Housing,Small Cap,IAS-2026
EDELWEISS,TFStudy,0.8,23.3,1,7,0,7.6,17.2,7.6,11.0,4.4,3.5,11.4,1,141.8,Financials - Misc,Small Cap,IAS-2026
RKFORGE,TFStudy,7.1,32.5,-3,-7,-1,3.9,11.2,3.9,11.2,-1.1,-6.0,-3.4,5,718.25,Metals - Casting/Forging,Small Cap,IAS-2026
ORCHPHARMA,TFStudy,10.0,61.6,-6,-7,2,2.6,12.2,2.6,12.2,0.2,-3.4,2.7,4,1019.55,Healthcare - Pharma,Small Cap,IAS-2026
GOCOLORS,TFStudy,56.5,78.6,-9,-9,-2,-5.7,1.3,-5.7,1.3,-6.5,-10.9,-20.9,3,311.4,Textile - Apparels,Small Cap,IAS-2026
