Symbol,Folio,DD_52W,DD_ATH,W_BO,D_BO,M_BO,W_SL,M_SL,W_PSL,M_PSL,D_CHG,W_CHG,M_CHG,Trend,CurPrice,Sector,MarketCap,Notes
SHYAMMETL,TFWatch,7.8,7.8,-2,-11,-1,0.2,1.8,0.2,1.8,-6.6,-7.5,-6.3,7,1024.7,Metals - Iron & Steel,Small Cap,ResearchReport
MOTILALOFS,TFWatch,11.4,38.8,-2,-5,-1,0.5,5.8,0.5,5.8,-7.6,-6.7,-6.8,1,972.0,Financials - Broking,Mid Cap,ResearchReport
COFORGE,TFWatch,14.2,14.2,-2,-12,-1,-7.1,17.8,-7.1,17.8,-13.2,-13.9,-12.6,6,1734.4,IT - Software/Consulting,Mid Cap,ResearchReport
TIIL,TFWatch,15.7,23.6,-3,-13,-1,0.4,8.7,0.4,8.7,-12.2,-11.3,-8.4,6,3004.4,Metals - Casting/Forging,Small Cap,ResearchReport
HEROMOTOCO,TFWatch,18.7,18.7,-5,-12,-1,-2.7,2.4,-2.7,2.4,-7.0,-10.3,-6.7,4,5193.0,Auto - 2W,Large Cap,ResearchReport
GODREJPROP,TFWatch,29.7,51.4,-6,-13,-1,-15.6,-12.6,-15.6,-12.6,-19.6,-22.5,-22.2,5,1653.5,Real Estate,Mid Cap,ResearchReport
CHOICEIN,TFWatch,15.3,15.3,-5,-12,-1,-9.5,-2.5,-9.5,-2.5,-7.4,-13.6,-12.0,6,728.85,Financials - Misc,Small Cap,ResearchReport
SHRIRAMFIN,TFWatch,15.2,15.2,-4,-12,-1,-7.9,-3.7,-7.9,-3.7,-11.7,-13.4,-11.8,4,978.7,Financials - NBFC,Large Cap,ResearchReport
TRENT,TFWatch,44.3,67.2,-6,-13,-2,-7.5,-3.6,-7.5,-3.6,-5.6,-18.2,-16.8,7,2733.6,Consumption - Retail,Large Cap,ResearchReport
POCL,TFWatch,32.3,32.3,-9,-12,-2,-12.2,-7.5,-12.2,-7.5,-14.1,-23.5,-20.5,3,438.6,Metals - Misc,Small Cap,ResearchReport
VENUSPIPES,TFWatch,7.9,23.2,-1,-1,1,9.1,19.7,9.1,10.8,-6.8,-6.8,8.7,6,1883.0,Metals - Iron & Steel,Small Cap,ResearchReport
SMSPHARMA,TFWatch,17.5,17.5,-1,-1,-2,0.6,9.8,0.6,1.0,-14.2,-14.2,-4.0,5,397.45,Healthcare - Pharma,Small Cap,ResearchReport
SOLARA,TFWatch,12.2,63.5,-1,-1,0,3.8,21.2,3.8,9.7,-9.3,-9.3,7.4,2,679.4,Healthcare - Pharma,Small Cap,GREEN-Sep-12
ANTELOPUS,TFWatch,17.7,17.7,-1,-5,2,4.7,28.5,4.7,15.0,-13.1,-12.0,21.0,5,1002.45,Oil and Gas,Small Cap,GREEN-Sep-12
SHANTIGEAR,TFWatch,11.6,11.6,-1,-3,0,10.1,43.1,10.1,22.7,-8.7,-8.2,24.9,4,656.5,Auto - OEM Suppliers,Small Cap,GREEN-Sep-12
WINDLAS,TFWatch,10.4,11.6,-1,-5,0,4.4,19.8,4.4,9.2,-8.6,-7.9,6.5,5,1058.9,Healthcare - Biotech,Small Cap,GREEN-Sep-12
LUMAXTECH,TFWatch,10.1,10.1,-4,-11,-1,11.1,13.5,11.1,13.5,-7.6,-5.3,-7.1,6,1931.1,Auto - Replacement,Small Cap,GREEN-Sep-12
GRANULES,TFWatch,8.1,7.2,-1,-1,0,2.7,4.5,2.7,1.9,-5.7,-6.6,2.5,5,849.25,Healthcare - Pharma,Small Cap,GREEN-Sep-12
STAR,TFWatch,10.1,33.9,-1,-4,-4,3.0,17.4,3.0,4.0,-7.6,-6.5,-0.5,1,1106.7,Healthcare - Pharma,Small Cap,GREEN-Sep-12
INDORAMA,TFWatch,14.9,14.9,-1,-1,0,13.2,52.2,13.2,25.0,-6.4,-5.1,24.5,4,82.1,Textiles - Polyester,Small Cap,GREEN-Sep-12
BODALCHEM,TFWatch,11.5,13.4,-1,-5,0,20.1,110.7,7.6,46.4,-8.0,-2.7,41.2,2,167.83,Chemicals - Dyes,Small Cap,GREEN-Sep-12
GMMPFAUDLR,TFWatch,4.1,42.3,0,-1,0,16.4,49.3,16.4,27.3,-1.3,1.5,27.4,3,1327.7,Engineering,Small Cap,BLUE-Sep-12
CONFIPET,TFWatch,9.8,31.1,-1,-3,0,0.4,11.6,0.4,4.8,-7.3,-7.3,1.6,4,82.67,Utility - Misc,Small Cap,BLUE-Sep-12
HERITGFOOD,TFWatch,23.1,46.7,-1,-1,0,0.8,12.5,0.8,6.8,-7.2,-7.2,7.3,2,387.5,Consumption - Dairy,Small Cap,BLUE-Sep-12
SPLPETRO,TFWatch,10.1,21.3,-1,-3,3,6.5,12.8,6.5,3.9,-6.6,-5.9,1.7,5,770.45,Chemicals - Petro,Small Cap,BLUE-Sep-12
HINDOILEXP,TFWatch,15.2,41.8,-1,-4,2,2.6,7.0,2.6,2.4,-13.0,-7.7,3.3,3,170.9,Oil and Gas,Small Cap,BLUE-Sep-12
PAISALO,TFWatch,4.3,18.1,-1,-1,0,9.6,26.3,9.6,17.1,-3.4,-3.1,13.7,8,81.62,Financials - NBFC,Small Cap,BLUE-Sep-12
PARAGMILK,TFWatch,33.3,33.3,-1,-1,-1,1.8,9.5,1.8,3.3,-6.4,-6.4,-1.2,1,251.35,Consumption - Dairy,Small Cap,BLUE-Sep-12
ABSLAMC,TFWatch,17.6,17.6,-9,-2,-2,-0.3,2.9,-0.3,2.9,-7.8,-14.5,-13.5,3,1009.2,Financials - AMC,Small Cap,BLUE-Sep-12
JINDRILL,TFWatch,17.6,41.4,-1,-5,-1,-7.9,0.8,-7.9,0.8,-14.3,-13.0,-6.8,4,580.5,Oil and Gas,Small Cap,BLUE-Sep-12
MAHSEAMLES,TFWatch,7.8,37.9,-1,-1,0,4.5,12.0,4.5,5.8,-6.5,-6.5,2.7,3,681.2,Metals - Pipe & Tube,Small Cap,BLUE-Sep-12
RATNAMANI,TFWatch,21.5,34.0,-1,-3,-4,3.0,10.6,3.0,10.6,-7.6,-6.6,-1.1,5,2626.3,Metals - Pipe & Tube,Small Cap,BLUE-Sep-12
JINDALSAW,TFWatch,13.6,28.0,-1,-4,-1,-7.1,3.9,-7.1,3.9,-12.3,-11.4,-10.8,3,276.35,Metals - Pipe & Tube,Small Cap,BLUE-Sep-12
MANALIPETC,TFWatch,13.3,46.1,-1,-4,-1,5.3,18.5,5.3,18.5,-9.4,-8.3,-1.3,2,80.66,Chemicals - Petro,Small Cap,BLUE-Sep-12
ELLEN,TFWatch,25.0,43.5,-1,-1,0,6.7,26.4,6.7,14.7,-4.2,-5.3,11.7,5,360.0,Industrial Gases,Small Cap,BLUE-Sep-12
NOCIL,TFWatch,11.3,46.0,-1,-4,1,3.3,8.7,3.3,3.3,-5.9,-4.3,0.4,4,181.45,Chemicals - Specialty,Small Cap,BLUE-Sep-12
MTARTECH,TFWatch,24.3,24.3,-1,-5,-4,-4.8,16.0,-4.8,16.0,-14.2,-9.7,-16.2,2,6600.0,Defense - Misc,Small Cap,BLUE-Sep-12
ADANIPORTS,TFWatch,9.4,9.4,-9,-1,-3,0.2,7.0,0.2,7.0,-3.2,-8.5,-6.8,7,1713.6,Infra - Construction,Large Cap,BLUE-Sep-12
