Symbol,Folio,DD_High,4H_MACD,4H_XC,D_XC,W_XC,W_BO,D_BO,M_XC,D_EMA20,W_EMA10,D_CHG,W_CHG,M_CHG,CurPrice,Sector,MarketCap,Notes,W_EMA20,D_XL,W_XL,M_XL
AETHER,Trend,-0.98,6,32,16,26,6,0,7,13.2,13.1,9.1,11.9,15.8,1357.2,Chemicals - Specialty,Small Cap,,1157.49,,,
APOLLOHOSP,Trend,-0.14,7,7,63,20,1,10,32,1.5,2.3,0.6,0.9,4.9,8573.5,Healthcare - Hospitals,Large Cap,,8158.84,,,
AUBANK,Trend,-1.14,2,17,9,10,8,1,14,4.5,4.3,3.0,0.1,5.0,1067.2,Financials - Private Bank,Mid Cap,,1006.09,,,
AUROPHARMA,Trend,-3.86,10,8,4,17,5,-1,6,3.6,3.2,-0.2,1.2,7.3,1530.6,Healthcare - Pharma,Mid Cap,,1441.86,,,
AXISBANK,Trend,-2.38,1,24,12,3,8,6,9,2.8,3.6,1.2,1.4,0.0,1384.5,Financials - Private Bank,Large Cap,,1315.86,,,
CENTUM,Trend,-1.83,-1,18,35,19,1,-2,14,2.1,4.9,-1.2,1.3,4.2,3630.9,Electronic - Equipment,Small Cap,,3268.48,,,
DELHIVERY,Trend,-1.83,-1,16,7,22,6,-2,12,4.2,4.3,-0.4,0.4,2.8,481.05,Transport - Logistics,Small Cap,,455.13,,,
INDIGRID,Trend,-2.1,6,6,6,12,6,-2,24,0.9,1.1,-0.0,0.2,1.2,174.13,Financials - Misc,Small Cap,,171.24,,,
INDNIPPON,Trend,-14.2,6,15,25,9,3,-1,13,3.3,5.5,-0.0,2.4,-0.7,943.75,Auto - OEM Suppliers,Small Cap,,857.17,,,
MANORAMA,Trend,-9.92,2,34,21,11,6,7,36,3.2,4.4,1.3,0.6,5.1,1585.4,Agri - Misc,Small Cap,,1467.23,,,
PANACEABIO,Trend,-4.44,4,3,55,9,2,-11,1,4.4,10.2,-8.5,2.9,27.0,556.05,Healthcare - Biotech,Small Cap,,457.53,,,
PRECWIRE,Trend,-5.65,2,15,6,21,7,-19,14,5.1,6.6,-0.8,4.5,4.5,441.1,Metals - Copper,Small Cap,,392.97,,,
RAMCOSYS,Trend,-1.25,2,31,24,5,2,5,1,19.0,20.5,18.0,19.8,7.7,673.8,IT - Product/Platform,Small Cap,,512.21,,,
SANGAMIND,Trend,-12.49,2,3,22,10,1,7,14,3.1,3.6,1.7,1.7,6.5,551.3,Textile - Spinning/Yarn,Small Cap,,513.41,,,
STEELCAS,Trend,-10.7,8,32,13,21,9,1,36,4.3,5.0,1.7,3.9,6.1,307.2,Metals - Casting/Forging,Small Cap,,281.95,,,
VIYASH,Trend,-2.39,12,10,5,10,3,1,33,5.2,7.2,0.9,3.6,3.6,271.25,Healthcare - Pharma,Small Cap,,239.77,,,
